question_id,creation_date,year,title,body,label
48046378,1/1/2018,2018,Python ctypes: how to pass ctypes array to DLL?,"<p>Calling a <em>dll</em> from Python using <em>ctypes</em>, I want to pass a ctypes array to the <em>dll</em>.  Here is the Python code:</p>

<pre><code>ReturnVec = ctypes.c_float * len(arrA)
t = type(ReturnVec)
hllDll = ctypes.WinDLL(r""C:/Temp2/Test_Project_3B/Std_Math_Formulas.dll"")
SimpleTest = hllDll.SimpleTest
SimpleTest.argtypes = [ctypes.c_void_p, ctypes.POINTER(ctypes.c_float)]
SimpleTest.restype = ctypes.c_void_p
retvar = SimpleTest(ctypes.byref(pvarr),ctypes.c_float(ReturnVec))
</code></pre>

<p>The final line throws the error:</p>

<blockquote>
  <p>""TypeError: must be real number, not _ctypes.PyCArrayType.""</p>
</blockquote>

<p>The variable <code>t</code> shows that its type is <code>ctypes.PyCArrayType</code>.  The variable <code>ReturnVec</code> shows that its type is <code>c_floatarray_1000</code> (where <code>1000</code> is the length of the array).  </p>

<p>I try to cast it to a <code>float</code>:</p>

<pre><code>aq = ctypes.cast(ReturnVec, ctypes.c_float)
</code></pre>

<p>but it returns:</p>

<blockquote>
  <p>""&lt;class 'TypeError'&gt;: wrong type""</p>
</blockquote>

<p>I try to cast it to a pointer, I get the same thing:</p>

<pre><code>floatPtr = ctypes.cast(ReturnVec, ctypes.POINTER(ctypes.c_float))
</code></pre>

<p>I've researched this at length, and there are many threads on this issue, but none described my situation.  </p>
",1
48046379,1/1/2018,2018,nginx gunicorn 502 bad gateway: upstream prematurely closed connection while reading response header from upstream,"<p>I have a Django app with which users can create video collages using multiple videos. Problem is, on production, when uploading videos to amazon s3, I get a 502 bad gateway (works fine locally). Does anyone know what could be wrong? I already set </p>

<pre><code>client_max_body_size 100M
</code></pre>

<p>and </p>

<pre><code>fastcgi_buffers 8 16k;
fastcgi_buffer_size 32k;
fastcgi_connect_timeout 3000;
fastcgi_send_timeout 3000;
fastcgi_read_timeout 3000;
</code></pre>

<p>Does anyone know what could be wrong? Thanks in advance</p>

<p>Full error: </p>

<pre><code>2017/12/31 23:50:51 [error] 1279#1279: *1 upstream prematurely closed connection while reading response header from upstream, 
client: 107.205.110.154, 
server: movingcollage.com, 
request: ""POST /create-collage/ HTTP/1.1"", 
upstream: ""http://unix:/home/mike/movingcollage/movingcollage.sock:/create-collage/"", 
host: ""movingcollage.com"", referrer: ""http://movingcollage.com/create-collage/""
</code></pre>
",1
48046384,1/1/2018,2018,Protocol Design in Swift,"<p>I have a single view controller class that I reuse on multiple screens, on different screens I want to supply a different data source. My VC looks something like this:</p>

<pre><code>class SpotViewController: UIViewController {

    var dataSource: SpotDataSource!
}
</code></pre>

<p>Now I want to have two different Data Source Classes</p>

<pre><code>class PersonalSpotDataSource {}
class ExploreSpotDataSource {}
</code></pre>

<p>Now I want to create some sort of a shared protocol that makes the above two classes implmenent the following properties</p>

<pre><code>var spots: [Spot]
var title: String
</code></pre>

<p>And then I want to that shared construct to conform UITableViewDataSource since it has everything it needs which is just the list of spots and the title. And then going back to my first class I can supply either class (Personal or explore) as my VC's data source.</p>

<p>Is this possible?</p>
",0
48046391,1/1/2018,2018,Removing blank lines in csv output on Windows 10 without an error,"<p>I'm using Scrapy 1.4.0 and Python 3.6.3.  When I run ""scrapy crawl  -o items.csv"", every other line of the csv file is blank.</p>

<p>While I did find  a solution <a href=""https://stackoverflow.com/questions/45908465/cant-get-rid-of-blank-rows-in-csv-output"">here</a>, it generates the following error:</p>

<pre><code>2017-12-31 18:39:48 [scrapy.utils.signal] ERROR: Error caught on signal handler: &lt;bound method FeedExporter.item_scraped of 
&lt;scrapy.extensions.feedexport.FeedExporter object at 0x000001FEA491D128&gt;&gt;
Traceback (most recent call last):
  File ""c:\programdata\anaconda3\lib\site-packages\twisted\internet\defer.py"", line 150, in maybeDeferred
result = f(*args, **kw)
  File ""c:\programdata\anaconda3\lib\site-packages\pydispatch\robustapply.py"", line 55, in robustApply
return receiver(*arguments, **named)
  File ""c:\programdata\anaconda3\lib\site-packages\scrapy\extensions\feedexport.py"", line 224, in item_scraped
slot.exporter.export_item(item)
  File ""c:\programdata\anaconda3\lib\site-packages\scrapy\exporters.py"", line 243, in export_item
self.csv_writer.writerow(values)
  File ""c:\programdata\anaconda3\lib\encodings\cp1252.py"", line 19, in encode
return codecs.charmap_encode(input,self.errors,encoding_table)[0]
UnicodeEncodeError: 'charmap' codec can't encode characters in position 77-78: character maps to &lt;undefined&gt;
</code></pre>

<p>Thank you in advance.</p>

<p>Here's the code:</p>

<pre><code>import scrapy
from scrapy import Request
class JobsSpider(scrapy.Spider):
    name = 'jobs'
    allowed_domains = ['craigslist.org']
    start_urls = ['https://newyork.craigslist.org/search/egr?s=120'] 

def parse(self, response):
    jobs = response.xpath('//p[@class=""result-info""]')

    for job in jobs:
        title = job.xpath('a[@class=""result-title hdrlnk""]/text()').extract_first()
        address = job.xpath('span[@class=""result-meta""]/span[@class=""result-hood""]/text()').extract_first("""")[2:-1]
        relative_url = job.xpath('a/@href').extract_first()
        yield Request(relative_url, callback=self.parse_page, meta={'URL': relative_url, 'Title': title, 'Address':address}) 

def parse_page(self, response):
    url = response.meta.get('URL')
    title = response.meta.get('Title')
    address = response.meta.get('Address')
    compensation = response.xpath('//p[@class=""attrgroup""]/span[1]/b/text()').extract_first()
    employment_type = response.xpath('//p[@class=""attrgroup""]/span[2]/b/text()').extract_first()

    description = """".join(line for line in response.xpath('//*[@id=""postingbody""]/text()').extract())
    yield{'URL': url, 'Title': title, 'Address':address, 'compensation': compensation,'employment_type':employment_type, 'Description':description}
</code></pre>
",1
48046399,1/1/2018,2018,Observablecollection from Query,"<p>I am working to implement a local SQLite DB in my app and my Observablecollection seems to return empty when it should have a list of image names like ""image1.png"",""image2.png"",""image3.png"" etc. The Model is as follows: </p>

<pre><code>public class ImageDB
{
    [PrimaryKey, AutoIncrement]
        public int Id { get; set; }
        public string ImageName { get; set; }
        public string ImageSource { get; set; }
        public string Description { get; set; }
}
</code></pre>

<p>And I am essentially trying to fill an Oberservablecollection like so: </p>

<pre><code>var myList = await App.Database.GetChinsAsync();
FeaturesChangerSource = new ObservableCollection&lt;string&gt;(myList.Select(x =&gt; 
x.ImageSource.ToString()).ToList());
</code></pre>

<p>Using this method: </p>

<pre><code>public Task&lt;List&lt;ImageDB&gt;&gt; GetChinsAsync()
    {
return database.QueryAsync&lt;ImageDB&gt;(""SELECT * FROM tImages WHERE Description 
LIKE '%chin%'"");
    }
</code></pre>

<p>Property Change notification:</p>

<pre><code>private ObservableCollection&lt;string&gt; _featuresChangerSource;
public ObservableCollection&lt;string&gt; FeaturesChangerSource
{
    get { return _featuresChangerSource; }
    set { _featuresChangerSource = value; OnPropertyChanged(); }
}
</code></pre>

<p>Any insight as to why the Observablecollection is empty?</p>
",0
48046415,1/1/2018,2018,"Facebook crawlers over angularjs app, javascript not loaded","<p>My site is built with AngularJS and Worpress as a single page application and based on the page I'm routing I define appropriate meta tags in the controller. This is my HTML header:</p>

<pre><code>&lt;meta property=""og:url"" content=""{{ngMeta['og:url']}}"" /&gt;
&lt;meta property=""og:title"" content=""{{ngMeta['og:title']}}"" /&gt;
&lt;meta property=""og:description"" content=""{{ngMeta['og:description']}}"" /&gt;
&lt;meta property=""og:image"" content=""{{ngMeta['og:image']}}"" /&gt;
</code></pre>

<p>This is working correctly, but I'm faced a problem when I'm trying to share a page on Facebook. Cause the crawler dispatched doesn't see the meta tags and this is what is returned:</p>

<p><a href=""https://i.stack.imgur.com/VH8Mk.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/VH8Mk.png"" alt=""enter image description here""></a></p>

<p>I guess that this is because the crawler does not load the javascript, so the meta tags are not loaded.</p>

<p>How can I solve this, maybe working on the server side and use two different redirect (in the apache mod) one for human being and one for social inspection (facebook, twitter etc.)</p>

<p>EDIT:
I read an article in which they suggest to do a mod rewrite with apache that will handle the requests from the social media crawlers and redirect them to a server side static page with meta data handled by the server.</p>

<p>As already said I'm using wordpress with this permalinks <code>https://&lt;dns&gt;/%category%/%postname%/</code> and so this is my <code>.htaccess</code>:</p>

<pre><code># BEGIN WordPress
&lt;IfModule mod_rewrite.c&gt;
RewriteEngine On
RewriteBase /
RewriteRule ^index\.php$ - [L]
RewriteCond %{REQUEST_FILENAME} !-f
RewriteCond %{REQUEST_FILENAME} !-d
RewriteRule . /index.php [L]
&lt;/IfModule&gt;
# END WordPress
</code></pre>

<p>I should add something like this (each Rewrite url for each category):</p>

<pre><code>RewriteCond %{HTTP_USER_AGENT} (facebookexternalhit/[0-9]|Twitterbot|Pinterest|Google.*snippet)
RewriteRule tracks/(\d*)$ https://&lt;dns&gt;/server/static-page.php?id=$1 [P]
RewriteRule articles/(\d*)$ https://&lt;dns&gt;/server/static-page.php?id=$1 [P]
</code></pre>

<p>To redirect the crowlers to the static page. But how can I handle the request in this server side static page? Do you have any suggests?</p>
",0
48046418,1/1/2018,2018,"Overriding without calling parent method, violating Liskov Principle","<p>I am developing a simple project. And I have a conflict with meaning of Liskov Principle in my project.</p>

<p>I simplified my question of my project with this example: </p>

<pre><code>public class Animal {  

     public void feed() {     

         // do something here         
     }    
}    


public class Dog extends Animal {

    // some methods and attributes

    @Override
    public void feed() {   

        // never call parent feed() method (super.feed())
    }
}
</code></pre>

<p>So, my question is, if I don't call parent method and write a completely new codes in override method, Is this violates Liskov Principle?</p>

<p>thanks.</p>
",0
48046421,1/1/2018,2018,How discord.py knows which function to pass the event data?,"<p>I am currently using <a href=""https://github.com/Rapptz/discord.py"" rel=""nofollow noreferrer"">discord.py</a> and I was curious about how the <code>Client.event</code> decorator works, but I can't find out for example, when it pass the data to the <code>on_message</code> function when there is a message event.</p>

<pre><code>import discord
import asyncio

client = discord.Client()

@client.event
async def on_message(message):
    pass

client.run('token')
</code></pre>

<p>When there is a message it takes the <code>on_message</code> function and pass the message to it, but I can't find when that happens in the code.</p>

<p>What I am missing?</p>
",1
48046429,1/1/2018,2018,C# publish Winform application,"<p>I'm trying to publish an <code>Winform</code> application that i build with Visual Studio 2013 <code>.Net 4.5.2</code>.
After i publish it and send the install to another computer it's install but when i try to run it i get an error:</p>

<pre><code>Files that help describe the problem:
  C:\Users\Administrator\AppData\Local\Temp\WERE983.tmp.WERInternalMetadata.xml
  C:\Users\Administrator\AppData\Local\Temp\WERF20C.tmp.appcompat.txt
  C:\Users\Administrator\AppData\Local\Temp\WERF21D.tmp.mdmp

Read our privacy statement online:
  http://go.microsoft.com/fwlink/?linkid=104288&amp;clcid=0x0409

If the online privacy statement is not available, please read our privacy statement offline:
  C:\Windows\system32\en-US\erofflps.txt
</code></pre>

<p>I check this files:</p>

<pre><code>WERE983.tmp.WERInternalMetadata.xml 
WERF20C.tmp.appcompat.txt
</code></pre>

<p>And this is what the contain:</p>

<pre><code>&lt;?xml version=""1.0"" encoding=""UTF-16""?&gt;
&lt;DATABASE&gt;
&lt;EXE NAME=""VAScanProducts.exe"" FILTER=""CMI_FILTER_PRIVACY""&gt;
    &lt;MATCHING_FILE NAME=""CefSharp.Core.dll"" SIZE=""1227264"" CHECKSUM=""0x96A9A86D"" MODULE_TYPE=""WIN32"" PE_CHECKSUM=""0x130D03"" LINKER_VERSION=""0x0"" LINK_DATE=""04/18/2017 05:44:15"" UPTO_LINK_DATE=""04/18/2017 05:44:15"" EXPORT_NAME=""CefSharp.Core.dll"" EXE_WRAPPER=""0x0"" /&gt;
    &lt;MATCHING_FILE NAME=""CefSharp.dll"" SIZE=""185344"" CHECKSUM=""0xBE52941B"" BIN_FILE_VERSION=""57.0.0.0"" BIN_PRODUCT_VERSION=""57.0.0.0"" PRODUCT_VERSION=""57.0.0.0"" FILE_DESCRIPTION=""CefSharp"" COMPANY_NAME=""The CefSharp Authors"" PRODUCT_NAME=""CefSharp"" FILE_VERSION=""57.0.0.0"" ORIGINAL_FILENAME=""CefSharp.dll"" INTERNAL_NAME=""CefSharp.dll"" LEGAL_COPYRIGHT=""Copyright © 2010-2017 The CefSharp Authors"" VERDATEHI=""0x0"" VERDATELO=""0x0"" VERFILEOS=""0x4"" VERFILETYPE=""0x2"" MODULE_TYPE=""WIN32"" PE_CHECKSUM=""0x2E412"" LINKER_VERSION=""0x0"" UPTO_BIN_FILE_VERSION=""57.0.0.0"" UPTO_BIN_PRODUCT_VERSION=""57.0.0.0"" LINK_DATE=""04/18/2017 05:43:55"" UPTO_LINK_DATE=""04/18/2017 05:43:55"" VER_LANGUAGE=""Language Neutral [0x0]"" EXE_WRAPPER=""0x0"" /&gt;
    &lt;MATCHING_FILE NAME=""CefSharp.WinForms.dll"" SIZE=""23552"" CHECKSUM=""0xE50D82BF"" BIN_FILE_VERSION=""57.0.0.0"" BIN_PRODUCT_VERSION=""57.0.0.0"" PRODUCT_VERSION=""57.0.0.0"" FILE_DESCRIPTION=""CefSharp.WinForm"" COMPANY_NAME=""The CefSharp Authors"" PRODUCT_NAME=""CefSharp"" FILE_VERSION=""57.0.0.0"" ORIGINAL_FILENAME=""CefSharp.WinForms.dll"" INTERNAL_NAME=""CefSharp.WinForms.dll"" LEGAL_COPYRIGHT=""Copyright © 2010-2017 The CefSharp Authors"" VERDATEHI=""0x0"" VERDATELO=""0x0"" VERFILEOS=""0x4"" VERFILETYPE=""0x2"" MODULE_TYPE=""WIN32"" PE_CHECKSUM=""0x7B0E"" LINKER_VERSION=""0x0"" UPTO_BIN_FILE_VERSION=""57.0.0.0"" UPTO_BIN_PRODUCT_VERSION=""57.0.0.0"" LINK_DATE=""04/18/2017 05:44:19"" UPTO_LINK_DATE=""04/18/2017 05:44:19"" VER_LANGUAGE=""Language Neutral [0x0]"" EXE_WRAPPER=""0x0"" /&gt;
    &lt;MATCHING_FILE NAME=""Newtonsoft.Json.dll"" SIZE=""653824"" CHECKSUM=""0xABD0EDC9"" BIN_FILE_VERSION=""10.0.3.21018"" BIN_PRODUCT_VERSION=""10.0.3.0"" PRODUCT_VERSION=""10.0.3"" FILE_DESCRIPTION=""Json.NET"" COMPANY_NAME=""Newtonsoft"" PRODUCT_NAME=""Json.NET"" FILE_VERSION=""10.0.3.21018"" ORIGINAL_FILENAME=""Newtonsoft.Json.dll"" INTERNAL_NAME=""Newtonsoft.Json.dll"" LEGAL_COPYRIGHT=""Copyright © James Newton-King 2008"" VERDATEHI=""0x0"" VERDATELO=""0x0"" VERFILEOS=""0x4"" VERFILETYPE=""0x2"" MODULE_TYPE=""WIN32"" PE_CHECKSUM=""0xA4DDC"" LINKER_VERSION=""0x0"" UPTO_BIN_FILE_VERSION=""10.0.3.21018"" UPTO_BIN_PRODUCT_VERSION=""10.0.3.0"" LINK_DATE=""06/10/2061 13:14:05"" UPTO_LINK_DATE=""06/10/2061 13:14:05"" VER_LANGUAGE=""Language Neutral [0x0]"" EXE_WRAPPER=""0x0"" /&gt;
    &lt;MATCHING_FILE NAME=""VAScanProducts.exe"" SIZE=""16384"" CHECKSUM=""0xDA25CD21"" BIN_FILE_VERSION=""1.0.0.0"" BIN_PRODUCT_VERSION=""1.0.0.0"" PRODUCT_VERSION=""1.0.0.0"" FILE_DESCRIPTION=""VAScanProducts"" PRODUCT_NAME=""VAScanProducts"" FILE_VERSION=""1.0.0.0"" ORIGINAL_FILENAME=""VAScanProducts.exe"" INTERNAL_NAME=""VAScanProducts.exe"" LEGAL_COPYRIGHT=""Copyright ©  2018"" VERDATEHI=""0x0"" VERDATELO=""0x0"" VERFILEOS=""0x4"" VERFILETYPE=""0x1"" MODULE_TYPE=""WIN32"" PE_CHECKSUM=""0x0"" LINKER_VERSION=""0x0"" UPTO_BIN_FILE_VERSION=""1.0.0.0"" UPTO_BIN_PRODUCT_VERSION=""1.0.0.0"" LINK_DATE=""01/01/2018 00:00:30"" UPTO_LINK_DATE=""01/01/2018 00:00:30"" VER_LANGUAGE=""Language Neutral [0x0]"" EXE_WRAPPER=""0x0"" FILE_ID=""0000feefe9ec5f02546ae654935471793c1b87db67f2"" PROGRAM_ID=""0000da39a3ee5e6b4b0d3255bfef95601890afd80709"" /&gt;
&lt;/EXE&gt;
&lt;EXE NAME=""KERNELBASE.dll"" FILTER=""CMI_FILTER_THISFILEONLY""&gt;
    &lt;MATCHING_FILE NAME=""KernelBase.dll"" SIZE=""275456"" CHECKSUM=""0xDD5DB326"" BIN_FILE_VERSION=""6.1.7601.23807"" BIN_PRODUCT_VERSION=""6.1.7601.23807"" PRODUCT_VERSION=""6.1.7601.18015"" FILE_DESCRIPTION=""Windows NT BASE API Client DLL"" COMPANY_NAME=""Microsoft Corporation"" PRODUCT_NAME=""Microsoft® Windows® Operating System"" FILE_VERSION=""6.1.7601.18015 (win7sp1_gdr.121129-1432)"" ORIGINAL_FILENAME=""Kernelbase"" INTERNAL_NAME=""Kernelbase"" LEGAL_COPYRIGHT=""© Microsoft Corporation. All rights reserved."" VERDATEHI=""0x0"" VERDATELO=""0x0"" VERFILEOS=""0x40004"" VERFILETYPE=""0x2"" MODULE_TYPE=""WIN32"" PE_CHECKSUM=""0x4FD50"" LINKER_VERSION=""0x60001"" UPTO_BIN_FILE_VERSION=""6.1.7601.23807"" UPTO_BIN_PRODUCT_VERSION=""6.1.7601.23807"" LINK_DATE=""05/12/2017 18:06:06"" UPTO_LINK_DATE=""05/12/2017 18:06:06"" EXPORT_NAME=""KERNELBASE.dll"" VER_LANGUAGE=""English (United States) [0x409]"" EXE_WRAPPER=""0x0"" FILE_ID=""0000ff428087a9ddf81b3edcb9f46e3b5ca798b97376"" PROGRAM_ID=""0000f519feec486de87ed73cb92d3cac802400000000"" /&gt;
&lt;/EXE&gt;
&lt;EXE NAME=""kernel32.dll"" FILTER=""CMI_FILTER_THISFILEONLY""&gt;
    &lt;MATCHING_FILE NAME=""kernel32.dll"" SIZE=""1114112"" CHECKSUM=""0x1725986C"" BIN_FILE_VERSION=""6.1.7601.23807"" BIN_PRODUCT_VERSION=""6.1.7601.23807"" PRODUCT_VERSION=""6.1.7601.18015"" FILE_DESCRIPTION=""Windows NT BASE API Client DLL"" COMPANY_NAME=""Microsoft Corporation"" PRODUCT_NAME=""Microsoft® Windows® Operating System"" FILE_VERSION=""6.1.7601.18015 (win7sp1_gdr.121129-1432)"" ORIGINAL_FILENAME=""kernel32"" INTERNAL_NAME=""kernel32"" LEGAL_COPYRIGHT=""© Microsoft Corporation. All rights reserved."" VERDATEHI=""0x0"" VERDATELO=""0x0"" VERFILEOS=""0x40004"" VERFILETYPE=""0x2"" MODULE_TYPE=""WIN32"" PE_CHECKSUM=""0x11A808"" LINKER_VERSION=""0x60001"" UPTO_BIN_FILE_VERSION=""6.1.7601.23807"" UPTO_BIN_PRODUCT_VERSION=""6.1.7601.23807"" LINK_DATE=""05/12/2017 18:06:05"" UPTO_LINK_DATE=""05/12/2017 18:06:05"" EXPORT_NAME=""KERNEL32.dll"" VER_LANGUAGE=""English (United States) [0x409]"" EXE_WRAPPER=""0x0"" FILE_ID=""00005daf7834295c8a8d2b58f1e3e780e39a6842a4c2"" PROGRAM_ID=""0000f519feec486de87ed73cb92d3cac802400000000"" /&gt;
&lt;/EXE&gt;
&lt;/DATABASE&gt;
</code></pre>

<p>And:</p>

<pre><code>&lt;?xml version=""1.0"" encoding=""UTF-16""?&gt;
&lt;WERReportMetadata&gt;
    &lt;OSVersionInformation&gt;
        &lt;WindowsNTVersion&gt;6.1&lt;/WindowsNTVersion&gt;
        &lt;Build&gt;7601 Service Pack 1&lt;/Build&gt;
        &lt;Product&gt;(0x30): Windows 7 Professional&lt;/Product&gt;
        &lt;Edition&gt;Professional&lt;/Edition&gt;
        &lt;BuildString&gt;7601.23807.amd64fre.win7sp1_ldr.170512-0600&lt;/BuildString&gt;
        &lt;Revision&gt;1130&lt;/Revision&gt;
        &lt;Flavor&gt;Multiprocessor Free&lt;/Flavor&gt;
        &lt;Architecture&gt;X64&lt;/Architecture&gt;
        &lt;LCID&gt;1033&lt;/LCID&gt;
    &lt;/OSVersionInformation&gt;
    &lt;ProblemSignatures&gt;
        &lt;EventType&gt;CLR20r3&lt;/EventType&gt;
        &lt;Parameter0&gt;VAScanProducts.exe&lt;/Parameter0&gt;
        &lt;Parameter1&gt;1.0.0.0&lt;/Parameter1&gt;
        &lt;Parameter2&gt;5a497a1e&lt;/Parameter2&gt;
        &lt;Parameter3&gt;VAScanProducts&lt;/Parameter3&gt;
        &lt;Parameter4&gt;1.0.0.0&lt;/Parameter4&gt;
        &lt;Parameter5&gt;5a497a1e&lt;/Parameter5&gt;
        &lt;Parameter6&gt;1&lt;/Parameter6&gt;
        &lt;Parameter7&gt;17&lt;/Parameter7&gt;
        &lt;Parameter8&gt;System.IO.FileNotFoundException&lt;/Parameter8&gt;
    &lt;/ProblemSignatures&gt;
    &lt;DynamicSignatures&gt;
        &lt;Parameter1&gt;6.1.7601.2.1.0.256.48&lt;/Parameter1&gt;
        &lt;Parameter2&gt;1033&lt;/Parameter2&gt;
        &lt;Parameter22&gt;0a9e&lt;/Parameter22&gt;
        &lt;Parameter23&gt;0a9e372d3b4ad19135b953a78882e789&lt;/Parameter23&gt;
        &lt;Parameter24&gt;0a9e&lt;/Parameter24&gt;
        &lt;Parameter25&gt;0a9e372d3b4ad19135b953a78882e789&lt;/Parameter25&gt;
    &lt;/DynamicSignatures&gt;
    &lt;SystemInformation&gt;
        &lt;MID&gt;B73736F6-D3D2-46FF-BDB0-6668893CF9EF&lt;/MID&gt;
        &lt;SystemManufacturer&gt;VMware, Inc.&lt;/SystemManufacturer&gt;
        &lt;SystemProductName&gt;VMware Virtual Platform&lt;/SystemProductName&gt;
        &lt;BIOSVersion&gt;6.00&lt;/BIOSVersion&gt;
    &lt;/SystemInformation&gt;
&lt;/WERReportMetadata&gt;
</code></pre>

<p>=========
Edit- First error message:
<a href=""https://i.stack.imgur.com/hD4Vc.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/hD4Vc.png"" alt=""enter image description here""></a></p>

<p>Any idea what can be the problem with the publish?</p>
",0
48046431,1/1/2018,2018,Issues Importing Obj Files Into Maya,"<p>Thanks for taking a moment to read this! So, as the title of my post implies, I'm trying to import some obj files into Maya, but I get the following error message when I try running my script:</p>

<pre><code>Error: line 1: TypeError: file &lt;maya console&gt; line 8: object of type 
'NoneType' has no len()
</code></pre>

<p>My script is listed below:</p>

<pre><code>import maya.cmds as cmds


pathOfFiles = ""/This PC/Desktop/Facial Rigging Blendshapes/""
fileType = ""obj""

files = cmds.getFileList(folder=pathOfFiles, filespec='*.%s' % fileType)
if len(files) == 0:
    cmds.warning(""No files found"")
else:
    for f in files:
        cmds.file(pathOfFiles + f, i=True)
</code></pre>

<p>Thanks again for taking the time to read this! Cheers!</p>
",1
